,precision,recall,f1-score,support
0,1.0,1.0,1.0,11.0
1,0.6923076923076923,0.75,0.72,12.0
2,0.6666666666666666,0.6,0.631578947368421,10.0
accuracy,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.7878787878787878
macro avg,0.7863247863247863,0.7833333333333333,0.783859649122807,33.0
weighted avg,0.787101787101787,0.7878787878787878,0.7865390749601276,33.0
