,precision,recall,f1-score,support
0,0.9090909090909091,0.9090909090909091,0.9090909090909091,11.0
1,0.8181818181818182,0.75,0.782608695652174,12.0
2,0.6363636363636364,0.7,0.6666666666666666,10.0
accuracy,0.7878787878787878,0.7878787878787878,0.7878787878787878,0.7878787878787878
macro avg,0.787878787878788,0.7863636363636365,0.7861220904699165,33.0
weighted avg,0.7933884297520661,0.7878787878787878,0.7896354852876591,33.0
